Date,Total Count,Manhattan,Brooklyn,Queens,Bronx,Staten Island,Average Age,Total Feet
2023-09-22,8774,4018,2255,1075,1345,81,488.0910645,1987208.18
2023-09-23,8776,4021,2256,1073,1344,82,487.946558796716,1990469.1800000002
2023-09-24,8767,4020,2250,1072,1343,82,488.9767309227789,1989695.1800000002
2023-09-25,8755,4011,2248,1072,1342,82,489.28555111364767,1987256.1800000002
2023-09-27,8750,3999,2250,1073,1347,81,486.38320000000243,1981741.6800000002
2023-09-28,8734,3986,2249,1072,1346,81,486.9816807877268,1980130.6800000002
2023-09-29,8716,3984,2247,1065,1339,81,487.9915098669093,1976235.1800000002
2023-10-01,8697,3972,2249,1062,1333,81,488.72496263079705,1972495.1800000002
2023-10-02,8693,3971,2247,1062,1332,81,489.7188542505464,1969798.1800000002
2023-10-03,8717,3975,2256,1067,1338,81,489.37822645405237,1973402.1800000002
2023-10-04,8727,3979,2259,1068,1340,81,489.07425232038423,1974927.1800000002
2023-10-05,8673,3960,2241,1062,1330,80,491.0637610976607,1967270.1800000002
2023-10-06,8699,3977,2246,1065,1331,80,489.83273939533177,1973324.1800000002
2023-10-09,8698,3977,2243,1064,1334,80,492.28926189928615,1973307.1800000002
2023-10-10,8675,3971,2227,1063,1334,80,493.8024207492789,1971347.6800000002
2023-10-11,8700,3982,2233,1069,1336,80,493.66988505747355,1982306.84
2023-10-12,8676,3984,2219,1059,1336,78,491.6294375288103,1977995.84
2023-10-16,8697,3992,2226,1070,1330,79,491.806714959181,1970863.84
2023-10-17,8704,3993,2226,1073,1333,79,490.8667279411731,1973417.59
2023-10-18,8687,3990,2223,1067,1328,79,489.4834810636618,1969096.59
2023-10-25,8676,3977,2227,1070,1322,80,492.3441678192736,1965101.84
2023-10-26,8677,3986,2228,1061,1322,80,491.57888671199504,1964855.84
2023-10-27,8679,3991,2224,1063,1322,79,491.48093098283573,1965867.84
2023-11-13,8613,3979,2195,1062,1300,77,493.3933588761148,1945608.4400000002
2023-11-17,8666,3981,2221,1071,1314,79,493.2051696284325,1957149.9400000002
2023-11-18,8685,3991,2220,1075,1320,79,492.3785837651153,1962785.9400000002
2023-11-21,8679,3987,2223,1071,1318,80,494.2491070399844,1963708.9400000002
2024-02-06,8421,3852,2116,1096,1276,81,512.7719985749934,1919346.8700000003
2024-02-07,8422,3855,2116,1092,1278,81,512.9364758964645,1920826.8700000003
2024-02-08,8422,3855,2116,1092,1278,81,512.9364758964645,1920826.8700000003
2024-02-09,8426,3866,2116,1092,1271,81,512.6843104676,1919303.8700000003
2024-02-10,8416,3857,2113,1092,1273,81,512.7693678707226,1915156.3700000003
2024-02-11,8402,3853,2109,1089,1270,81,513.8007617233995,1910937.3700000003
2024-02-12,8327,3836,2090,1059,1261,81,514.8769064489078,1896490.8700000003
2024-02-13,8345,3848,2091,1064,1261,81,514.4331935290578,1899796.8700000003
2024-02-14,8345,3848,2091,1064,1261,81,514.4331935290578,1899796.8700000003
2024-02-15,8347,3854,2088,1061,1263,81,513.9944890379775,1904575.8700000003
